Username,Email,Full Name,Role,Access Scope,Default Password,Report Section Access / Permissions
officer1.gdp,officer1.gdp@punjab.gov.in,Officer 1 GDP,OFFICER_1,Gurdaspur,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.gdp,officer2.gdp@punjab.gov.in,Officer 2 GDP,OFFICER_2,Gurdaspur,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.gdp,geologist.gdp@punjab.gov.in,Geologist GDP,GEOLOGIST,Gurdaspur,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.gdp,reviewer.gdp@punjab.gov.in,Reviewer GDP,REVIEWER,Gurdaspur,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.gdp,deo.gdp@punjab.gov.in,Data Entry Operator GDP,DATA_ENTRY_OPERATOR,Gurdaspur,Gov@2026!Secure,Edit Chapters 6-10
reportgen.gdp,reportgen.gdp@punjab.gov.in,Report Generator GDP,REPORT_GENERATOR,Gurdaspur,Gov@2026!Secure,Generate & download final DSR reports
admin.hsp,admin.hsp@punjab.gov.in,District Admin HSP,DISTRICT_ADMIN,Hoshiarpur,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.hsp,officer1.hsp@punjab.gov.in,Officer 1 HSP,OFFICER_1,Hoshiarpur,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.hsp,officer2.hsp@punjab.gov.in,Officer 2 HSP,OFFICER_2,Hoshiarpur,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.hsp,geologist.hsp@punjab.gov.in,Geologist HSP,GEOLOGIST,Hoshiarpur,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.hsp,reviewer.hsp@punjab.gov.in,Reviewer HSP,REVIEWER,Hoshiarpur,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.hsp,deo.hsp@punjab.gov.in,Data Entry Operator HSP,DATA_ENTRY_OPERATOR,Hoshiarpur,Gov@2026!Secure,Edit Chapters 6-10
reportgen.hsp,reportgen.hsp@punjab.gov.in,Report Generator HSP,REPORT_GENERATOR,Hoshiarpur,Gov@2026!Secure,Generate & download final DSR reports
admin.jal,admin.jal@punjab.gov.in,District Admin JAL,DISTRICT_ADMIN,Jalandhar,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.jal,officer1.jal@punjab.gov.in,Officer 1 JAL,OFFICER_1,Jalandhar,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.jal,officer2.jal@punjab.gov.in,Officer 2 JAL,OFFICER_2,Jalandhar,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.jal,geologist.jal@punjab.gov.in,Geologist JAL,GEOLOGIST,Jalandhar,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.jal,reviewer.jal@punjab.gov.in,Reviewer JAL,REVIEWER,Jalandhar,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.jal,deo.jal@punjab.gov.in,Data Entry Operator JAL,DATA_ENTRY_OPERATOR,Jalandhar,Gov@2026!Secure,Edit Chapters 6-10
reportgen.jal,reportgen.jal@punjab.gov.in,Report Generator JAL,REPORT_GENERATOR,Jalandhar,Gov@2026!Secure,Generate & download final DSR reports
admin.kpt,admin.kpt@punjab.gov.in,District Admin KPT,DISTRICT_ADMIN,Kapurthala,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.kpt,officer1.kpt@punjab.gov.in,Officer 1 KPT,OFFICER_1,Kapurthala,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.kpt,officer2.kpt@punjab.gov.in,Officer 2 KPT,OFFICER_2,Kapurthala,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.kpt,geologist.kpt@punjab.gov.in,Geologist KPT,GEOLOGIST,Kapurthala,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.kpt,reviewer.kpt@punjab.gov.in,Reviewer KPT,REVIEWER,Kapurthala,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.kpt,deo.kpt@punjab.gov.in,Data Entry Operator KPT,DATA_ENTRY_OPERATOR,Kapurthala,Gov@2026!Secure,Edit Chapters 6-10
reportgen.kpt,reportgen.kpt@punjab.gov.in,Report Generator KPT,REPORT_GENERATOR,Kapurthala,Gov@2026!Secure,Generate & download final DSR reports
admin.ldh,admin.ldh@punjab.gov.in,District Admin LDH,DISTRICT_ADMIN,Ludhiana,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.ldh,officer1.ldh@punjab.gov.in,Officer 1 LDH,OFFICER_1,Ludhiana,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.ldh,officer2.ldh@punjab.gov.in,Officer 2 LDH,OFFICER_2,Ludhiana,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.ldh,geologist.ldh@punjab.gov.in,Geologist LDH,GEOLOGIST,Ludhiana,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.ldh,reviewer.ldh@punjab.gov.in,Reviewer LDH,REVIEWER,Ludhiana,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.ldh,deo.ldh@punjab.gov.in,Data Entry Operator LDH,DATA_ENTRY_OPERATOR,Ludhiana,Gov@2026!Secure,Edit Chapters 6-10
reportgen.ldh,reportgen.ldh@punjab.gov.in,Report Generator LDH,REPORT_GENERATOR,Ludhiana,Gov@2026!Secure,Generate & download final DSR reports
admin.mlk,admin.mlk@punjab.gov.in,District Admin MLK,DISTRICT_ADMIN,Malerkotla,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.mlk,officer1.mlk@punjab.gov.in,Officer 1 MLK,OFFICER_1,Malerkotla,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.mlk,officer2.mlk@punjab.gov.in,Officer 2 MLK,OFFICER_2,Malerkotla,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.mlk,geologist.mlk@punjab.gov.in,Geologist MLK,GEOLOGIST,Malerkotla,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.mlk,reviewer.mlk@punjab.gov.in,Reviewer MLK,REVIEWER,Malerkotla,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.mlk,deo.mlk@punjab.gov.in,Data Entry Operator MLK,DATA_ENTRY_OPERATOR,Malerkotla,Gov@2026!Secure,Edit Chapters 6-10
reportgen.mlk,reportgen.mlk@punjab.gov.in,Report Generator MLK,REPORT_GENERATOR,Malerkotla,Gov@2026!Secure,Generate & download final DSR reports
admin.mns,admin.mns@punjab.gov.in,District Admin MNS,DISTRICT_ADMIN,Mansa,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.mns,officer1.mns@punjab.gov.in,Officer 1 MNS,OFFICER_1,Mansa,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.mns,officer2.mns@punjab.gov.in,Officer 2 MNS,OFFICER_2,Mansa,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.mns,geologist.mns@punjab.gov.in,Geologist MNS,GEOLOGIST,Mansa,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.mns,reviewer.mns@punjab.gov.in,Reviewer MNS,REVIEWER,Mansa,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.mns,deo.mns@punjab.gov.in,Data Entry Operator MNS,DATA_ENTRY_OPERATOR,Mansa,Gov@2026!Secure,Edit Chapters 6-10
reportgen.mns,reportgen.mns@punjab.gov.in,Report Generator MNS,REPORT_GENERATOR,Mansa,Gov@2026!Secure,Generate & download final DSR reports
admin.mog,admin.mog@punjab.gov.in,District Admin MOG,DISTRICT_ADMIN,Moga,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.mog,officer1.mog@punjab.gov.in,Officer 1 MOG,OFFICER_1,Moga,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.mog,officer2.mog@punjab.gov.in,Officer 2 MOG,OFFICER_2,Moga,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.mog,geologist.mog@punjab.gov.in,Geologist MOG,GEOLOGIST,Moga,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.mog,reviewer.mog@punjab.gov.in,Reviewer MOG,REVIEWER,Moga,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.mog,deo.mog@punjab.gov.in,Data Entry Operator MOG,DATA_ENTRY_OPERATOR,Moga,Gov@2026!Secure,Edit Chapters 6-10
reportgen.mog,reportgen.mog@punjab.gov.in,Report Generator MOG,REPORT_GENERATOR,Moga,Gov@2026!Secure,Generate & download final DSR reports
admin.ptk,admin.ptk@punjab.gov.in,District Admin PTK,DISTRICT_ADMIN,Pathankot,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.ptk,officer1.ptk@punjab.gov.in,Officer 1 PTK,OFFICER_1,Pathankot,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.ptk,officer2.ptk@punjab.gov.in,Officer 2 PTK,OFFICER_2,Pathankot,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.ptk,geologist.ptk@punjab.gov.in,Geologist PTK,GEOLOGIST,Pathankot,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.ptk,reviewer.ptk@punjab.gov.in,Reviewer PTK,REVIEWER,Pathankot,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.ptk,deo.ptk@punjab.gov.in,Data Entry Operator PTK,DATA_ENTRY_OPERATOR,Pathankot,Gov@2026!Secure,Edit Chapters 6-10
reportgen.ptk,reportgen.ptk@punjab.gov.in,Report Generator PTK,REPORT_GENERATOR,Pathankot,Gov@2026!Secure,Generate & download final DSR reports
admin.pta,admin.pta@punjab.gov.in,District Admin PTA,DISTRICT_ADMIN,Patiala,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.pta,officer1.pta@punjab.gov.in,Officer 1 PTA,OFFICER_1,Patiala,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.pta,officer2.pta@punjab.gov.in,Officer 2 PTA,OFFICER_2,Patiala,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.pta,geologist.pta@punjab.gov.in,Geologist PTA,GEOLOGIST,Patiala,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.pta,reviewer.pta@punjab.gov.in,Reviewer PTA,REVIEWER,Patiala,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.pta,deo.pta@punjab.gov.in,Data Entry Operator PTA,DATA_ENTRY_OPERATOR,Patiala,Gov@2026!Secure,Edit Chapters 6-10
reportgen.pta,reportgen.pta@punjab.gov.in,Report Generator PTA,REPORT_GENERATOR,Patiala,Gov@2026!Secure,Generate & download final DSR reports
admin.rpn,admin.rpn@punjab.gov.in,District Admin RPN,DISTRICT_ADMIN,Rupnagar,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.rpn,officer1.rpn@punjab.gov.in,Officer 1 RPN,OFFICER_1,Rupnagar,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.rpn,officer2.rpn@punjab.gov.in,Officer 2 RPN,OFFICER_2,Rupnagar,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.rpn,geologist.rpn@punjab.gov.in,Geologist RPN,GEOLOGIST,Rupnagar,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.rpn,reviewer.rpn@punjab.gov.in,Reviewer RPN,REVIEWER,Rupnagar,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.rpn,deo.rpn@punjab.gov.in,Data Entry Operator RPN,DATA_ENTRY_OPERATOR,Rupnagar,Gov@2026!Secure,Edit Chapters 6-10
reportgen.rpn,reportgen.rpn@punjab.gov.in,Report Generator RPN,REPORT_GENERATOR,Rupnagar,Gov@2026!Secure,Generate & download final DSR reports
admin.sas,admin.sas@punjab.gov.in,District Admin SAS,DISTRICT_ADMIN,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.sas,officer1.sas@punjab.gov.in,Officer 1 SAS,OFFICER_1,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.sas,officer2.sas@punjab.gov.in,Officer 2 SAS,OFFICER_2,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.sas,geologist.sas@punjab.gov.in,Geologist SAS,GEOLOGIST,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.sas,reviewer.sas@punjab.gov.in,Reviewer SAS,REVIEWER,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.sas,deo.sas@punjab.gov.in,Data Entry Operator SAS,DATA_ENTRY_OPERATOR,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,Edit Chapters 6-10
reportgen.sas,reportgen.sas@punjab.gov.in,Report Generator SAS,REPORT_GENERATOR,Sahibzada Ajit Singh Nagar,Gov@2026!Secure,Generate & download final DSR reports
admin.sgr,admin.sgr@punjab.gov.in,District Admin SGR,DISTRICT_ADMIN,Sangrur,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.sgr,officer1.sgr@punjab.gov.in,Officer 1 SGR,OFFICER_1,Sangrur,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.sgr,officer2.sgr@punjab.gov.in,Officer 2 SGR,OFFICER_2,Sangrur,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.sgr,geologist.sgr@punjab.gov.in,Geologist SGR,GEOLOGIST,Sangrur,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.sgr,reviewer.sgr@punjab.gov.in,Reviewer SGR,REVIEWER,Sangrur,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.sgr,deo.sgr@punjab.gov.in,Data Entry Operator SGR,DATA_ENTRY_OPERATOR,Sangrur,Gov@2026!Secure,Edit Chapters 6-10
reportgen.sgr,reportgen.sgr@punjab.gov.in,Report Generator SGR,REPORT_GENERATOR,Sangrur,Gov@2026!Secure,Generate & download final DSR reports
admin.sbs,admin.sbs@punjab.gov.in,District Admin SBS,DISTRICT_ADMIN,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.sbs,officer1.sbs@punjab.gov.in,Officer 1 SBS,OFFICER_1,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.sbs,officer2.sbs@punjab.gov.in,Officer 2 SBS,OFFICER_2,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.sbs,geologist.sbs@punjab.gov.in,Geologist SBS,GEOLOGIST,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.sbs,reviewer.sbs@punjab.gov.in,Reviewer SBS,REVIEWER,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.sbs,deo.sbs@punjab.gov.in,Data Entry Operator SBS,DATA_ENTRY_OPERATOR,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,Edit Chapters 6-10
reportgen.sbs,reportgen.sbs@punjab.gov.in,Report Generator SBS,REPORT_GENERATOR,Shaheed Bhagat Singh Nagar,Gov@2026!Secure,Generate & download final DSR reports
admin.sms,admin.sms@punjab.gov.in,District Admin SMS,DISTRICT_ADMIN,Sri Muktsar Sahib,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.sms,officer1.sms@punjab.gov.in,Officer 1 SMS,OFFICER_1,Sri Muktsar Sahib,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.sms,officer2.sms@punjab.gov.in,Officer 2 SMS,OFFICER_2,Sri Muktsar Sahib,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.sms,geologist.sms@punjab.gov.in,Geologist SMS,GEOLOGIST,Sri Muktsar Sahib,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.sms,reviewer.sms@punjab.gov.in,Reviewer SMS,REVIEWER,Sri Muktsar Sahib,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.sms,deo.sms@punjab.gov.in,Data Entry Operator SMS,DATA_ENTRY_OPERATOR,Sri Muktsar Sahib,Gov@2026!Secure,Edit Chapters 6-10
reportgen.sms,reportgen.sms@punjab.gov.in,Report Generator SMS,REPORT_GENERATOR,Sri Muktsar Sahib,Gov@2026!Secure,Generate & download final DSR reports
admin.tnt,admin.tnt@punjab.gov.in,District Admin TNT,DISTRICT_ADMIN,Tarn Taran,Gov@2026!Secure,View only (Dashboard / Projects / Reports / Users)
officer1.tnt,officer1.tnt@punjab.gov.in,Officer 1 TNT,OFFICER_1,Tarn Taran,Gov@2026!Secure,"Edit Front Matter, Chapters 1-5"
officer2.tnt,officer2.tnt@punjab.gov.in,Officer 2 TNT,OFFICER_2,Tarn Taran,Gov@2026!Secure,"Edit Certificate of Compliance, Chapters 1-5"
geologist.tnt,geologist.tnt@punjab.gov.in,Geologist TNT,GEOLOGIST,Tarn Taran,Gov@2026!Secure,"Edit Plates (Maps), Cross-Section Graphs"
reviewer.tnt,reviewer.tnt@punjab.gov.in,Reviewer TNT,REVIEWER,Tarn Taran,Gov@2026!Secure,Reviewer only (Section Review, Report Approval)
deo.tnt,deo.tnt@punjab.gov.in,Data Entry Operator TNT,DATA_ENTRY_OPERATOR,Tarn Taran,Gov@2026!Secure,Edit Chapters 6-10
reportgen.tnt,reportgen.tnt@punjab.gov.in,Report Generator TNT,REPORT_GENERATOR,Tarn Taran,Gov@2026!Secure,Generate & download final DSR reports
